iter	Passed	Remaining
929	2130	160
930	2131	157
931	2132	155
932	2133	153
933	2134	150
934	2136	148
935	2138	146
936	2139	143
937	2140	141
938	2141	139
939	2143	136
940	2144	134
941	2145	132
942	2147	129
943	2148	127
944	2149	125
945	2150	122
946	2151	120
947	2153	118
948	2154	115
949	2155	113
950	2157	111
951	2158	108
952	2159	106
953	2161	104
954	2163	101
955	2164	99
956	2165	97
957	2166	94
958	2167	92
959	2168	90
960	2170	88
961	2174	85
962	2175	83
963	2177	81
964	2178	79
965	2179	76
966	2181	74
967	2183	72
968	2184	69
969	2186	67
970	2188	65
971	2189	63
972	2191	60
973	2193	58
974	2194	56
975	2196	54
976	2197	51
977	2199	49
978	2201	47
979	2202	44
980	2204	42
981	2205	40
982	2207	38
983	2214	36
984	2215	33
985	2216	31
986	2218	29
987	2219	26
988	2225	24
989	2226	22
990	2228	20
991	2229	17
992	2231	15
993	2232	13
994	2234	11
995	2236	8
996	2238	6
997	2239	4
998	2241	2
999	2242	0
